Data,Estado,Mortos,Feridos,Total
17/08/2019,Texas,0,7,7
17/08/2019,Missouri,0,4,4
17/08/2019,Virginia,1,3,4
15/08/2019,Pennsylvania,0,5,5
15/08/2019,Alabama,2,3,5
14/08/2019,West Virginia,1,5,6
14/08/2019,Pennsylvania,0,6,6
13/08/2019,Washington,2,3,5
13/08/2019,Mississippi,0,4,4
12/08/2019,California,2,2,4
12/08/2019,North Carolina,3,1,4
11/08/2019,Illinois,0,6,6
10/08/2019,California,0,4,4
10/08/2019,Virginia,0,4,4
09/08/2019,Texas,0,4,4
09/08/2019,Illinois,0,4,4
08/08/2019,New Jersey,1,3,4
07/08/2019,Missouri,2,2,4
06/08/2019,Georgia,4,0,4
06/08/2019,Michigan,0,4,4
05/08/2019,Texas,4,0,4
05/08/2019,Maryland,1,3,4
05/08/2019,New York,0,4,4
04/08/2019,Tennessee,1,3,4
04/08/2019,Mississippi,0,4,4
04/08/2019,Illinois,1,7,8
04/08/2019,Illinois,0,7,7
04/08/2019,Ohio,10,27,37
03/08/2019,Texas,23,23,46
02/08/2019,Maryland,3,1,4
02/08/2019,Virginia,2,3,5
31/07/2019,Indiana,3,1,4
30/07/2019,Mississippi,2,2,4
30/07/2019,Oklahoma,0,4,4
30/07/2019,Texas,3,1,4
30/07/2019,Ohio,0,5,5
28/07/2019,Wisconsin,5,2,7
28/07/2019,California,4,17,21
28/07/2019,Pennsylvania,0,4,4
28/07/2019,Pennsylvania,1,5,6
28/07/2019,Illinois,0,4,4
28/07/2019,"Washington, D.C.",0,4,4
27/07/2019,Kansas,1,3,4
27/07/2019,New York,1,12,13
25/07/2019,North Carolina,3,1,4
25/07/2019,California,4,2,6
23/07/2019,Florida,2,2,4
21/07/2019,Illinois,0,4,4
21/07/2019,"Washington, D.C.",0,4,4
20/07/2019,New Jersey,0,6,6
20/07/2019,Pennsylvania,0,4,4
20/07/2019,Illinois,0,7,7
18/07/2019,Illinois,1,3,4
17/07/2019,Texas,1,3,4
16/07/2019,Texas,0,4,4
15/07/2019,Louisiana,1,3,4
15/07/2019,Georgia,0,4,4
15/07/2019,Maryland,2,2,4
13/07/2019,Pennsylvania,0,7,7
13/07/2019,Illinois,1,4,5
11/07/2019,Texas,0,4,4
08/07/2019,North Carolina,2,2,4
08/07/2019,"Washington, D.C.",0,4,4
07/07/2019,Michigan,2,4,6
07/07/2019,Kansas,0,4,4
07/07/2019,Illinois,0,4,4
07/07/2019,New Mexico,0,4,4
06/07/2019,California,0,4,4
06/07/2019,Michigan,2,2,4
06/07/2019,North Carolina,0,4,4
05/07/2019,New York,0,4,4
